id,source_pack,source_origin,variant,reason
all-396,pack_all_v1,linkedin_editor_raw,classic,normalize_error:duplicate clue number
linkedin-1,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-2,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-3,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-4,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-5,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-6,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-7,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-8,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-9,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-10,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-11,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-12,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-13,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-20,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-21,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-22,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-23,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-28,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-29,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-39,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-40,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-47,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-51,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-58,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-61,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-62,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-63,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-64,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-65,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-69,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-70,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-73,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-74,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-75,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-76,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-78,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-79,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-81,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-82,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-84,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-86,pack_linkedin_v1,linkedin,classic,excluded_by_policy
linkedin-90,pack_linkedin_v1,linkedin,classic,excluded_by_policy
