id,variant,difficulty_estimate,grid_size,path_length,num_clues,clue_density,sequence_length,sequence_start,sequence_step,representation,turns,max_straight,avg_straight,corners,borders,inners,num_walls,alphabet_start_char,multiple_base,roman_max_value,dice_mode,arithmetic_mode,source_level_id
world_alphabet_001,alphabet,easy,5,25,10,0.4,10,1,1,alphabet,18,2,1.26,1,5,4,5,A,,,,,generated_alphabet_001
world_alphabet_002,alphabet,easy,5,25,10,0.4,10,1,1,alphabet,19,2,1.2,2,3,5,6,A,,,,,generated_alphabet_002
world_alphabet_003,alphabet,medium,5,25,5,0.2,5,1,1,alphabet,8,4,2.67,2,1,2,7,A,,,,,generated_alphabet_003
world_alphabet_004,alphabet,medium,5,25,9,0.36,9,1,1,alphabet,18,2,1.26,2,3,4,6,A,,,,,generated_alphabet_004
world_alphabet_005,alphabet,hard,5,25,7,0.28,7,1,1,alphabet,18,2,1.26,1,2,4,7,A,,,,,generated_alphabet_005
world_alphabet_006,alphabet,easy,5,25,15,0.6,15,1,1,alphabet,11,4,2.0,2,7,6,6,A,,,,,generated_alphabet_006
world_alphabet_007,alphabet,easy,5,25,6,0.24,6,1,1,alphabet,12,4,1.85,2,2,2,8,A,,,,,generated_alphabet_007
world_alphabet_008,alphabet,medium,5,25,5,0.2,5,1,1,alphabet,12,4,1.85,0,2,3,11,A,,,,,generated_alphabet_008
world_alphabet_009,alphabet,medium,5,25,11,0.44,11,1,1,alphabet,9,4,2.4,2,5,4,6,A,,,,,generated_alphabet_009
world_alphabet_010,alphabet,hard,5,25,6,0.24,6,1,1,alphabet,17,2,1.33,0,1,5,10,A,,,,,generated_alphabet_010
world_alphabet_011,alphabet,easy,5,25,6,0.24,6,1,1,alphabet,12,4,1.85,2,3,1,8,A,,,,,generated_alphabet_011
world_alphabet_012,alphabet,easy,5,25,10,0.4,10,1,1,alphabet,19,2,1.2,2,4,4,5,A,,,,,generated_alphabet_012
world_alphabet_013,alphabet,medium,5,25,14,0.56,14,1,1,alphabet,18,2,1.26,4,4,6,7,A,,,,,generated_alphabet_013
world_alphabet_014,alphabet,medium,5,25,12,0.48,12,1,1,alphabet,11,4,2.0,4,3,5,9,A,,,,,generated_alphabet_014
world_alphabet_015,alphabet,hard,5,25,6,0.24,6,1,1,alphabet,11,4,2.0,0,2,4,10,A,,,,,generated_alphabet_015
world_alphabet_016,alphabet,easy,5,25,6,0.24,6,1,1,alphabet,13,4,1.71,2,2,2,8,A,,,,,generated_alphabet_016
world_alphabet_017,alphabet,easy,5,25,7,0.28,7,1,1,alphabet,17,2,1.33,1,2,4,6,A,,,,,generated_alphabet_017
world_alphabet_018,alphabet,medium,5,25,5,0.2,5,1,1,alphabet,13,4,1.71,0,2,3,8,A,,,,,generated_alphabet_018
world_alphabet_019,alphabet,medium,5,25,11,0.44,11,1,1,alphabet,14,4,1.6,2,5,4,7,A,,,,,generated_alphabet_019
world_alphabet_020,alphabet,hard,5,25,8,0.32,8,1,1,alphabet,9,4,2.4,4,1,3,9,A,,,,,generated_alphabet_020
world_alphabet_reverse_001,alphabet_reverse,easy,5,25,12,0.48,12,1,1,alphabet_reverse,11,4,2.0,1,6,5,6,Z,,,,,generated_alphabet_reverse_001
world_alphabet_reverse_002,alphabet_reverse,easy,5,25,10,0.4,10,1,1,alphabet_reverse,18,2,1.26,1,3,6,5,Z,,,,,generated_alphabet_reverse_002
world_alphabet_reverse_003,alphabet_reverse,medium,5,25,8,0.32,8,1,1,alphabet_reverse,13,4,1.71,0,5,3,8,Z,,,,,generated_alphabet_reverse_003
world_alphabet_reverse_004,alphabet_reverse,medium,5,25,6,0.24,6,1,1,alphabet_reverse,13,4,1.71,2,2,2,4,Z,,,,,generated_alphabet_reverse_004
world_alphabet_reverse_005,alphabet_reverse,hard,5,25,11,0.44,11,1,1,alphabet_reverse,17,2,1.33,2,5,4,8,Z,,,,,generated_alphabet_reverse_005
world_alphabet_reverse_006,alphabet_reverse,easy,5,25,9,0.36,9,1,1,alphabet_reverse,17,2,1.33,0,5,4,6,Z,,,,,generated_alphabet_reverse_006
world_alphabet_reverse_007,alphabet_reverse,easy,5,25,12,0.48,12,1,1,alphabet_reverse,13,4,1.71,2,5,5,8,Z,,,,,generated_alphabet_reverse_007
world_alphabet_reverse_008,alphabet_reverse,medium,5,25,14,0.56,14,1,1,alphabet_reverse,13,4,1.71,3,6,5,7,Z,,,,,generated_alphabet_reverse_008
world_alphabet_reverse_009,alphabet_reverse,medium,5,25,9,0.36,9,1,1,alphabet_reverse,17,2,1.33,1,5,3,9,Z,,,,,generated_alphabet_reverse_009
world_alphabet_reverse_010,alphabet_reverse,hard,5,25,10,0.4,10,1,1,alphabet_reverse,13,4,1.71,2,4,4,12,Z,,,,,generated_alphabet_reverse_010
world_alphabet_reverse_011,alphabet_reverse,easy,5,25,8,0.32,8,1,1,alphabet_reverse,18,2,1.26,1,5,2,5,Z,,,,,generated_alphabet_reverse_011
world_alphabet_reverse_012,alphabet_reverse,easy,5,25,14,0.56,14,1,1,alphabet_reverse,13,4,1.71,3,5,6,4,Z,,,,,generated_alphabet_reverse_012
world_alphabet_reverse_013,alphabet_reverse,medium,5,25,14,0.56,14,1,1,alphabet_reverse,18,2,1.26,4,5,5,6,Z,,,,,generated_alphabet_reverse_013
world_alphabet_reverse_014,alphabet_reverse,medium,5,25,8,0.32,8,1,1,alphabet_reverse,14,4,1.6,2,4,2,7,Z,,,,,generated_alphabet_reverse_014
world_alphabet_reverse_015,alphabet_reverse,hard,5,25,4,0.16,4,1,1,alphabet_reverse,11,4,2.0,1,1,2,12,Z,,,,,generated_alphabet_reverse_015
world_alphabet_reverse_016,alphabet_reverse,easy,5,25,8,0.32,8,1,1,alphabet_reverse,13,4,1.71,3,3,2,7,Z,,,,,generated_alphabet_reverse_016
world_alphabet_reverse_017,alphabet_reverse,easy,5,25,15,0.6,15,1,1,alphabet_reverse,14,4,1.6,2,8,5,6,Z,,,,,generated_alphabet_reverse_017
world_alphabet_reverse_018,alphabet_reverse,medium,5,25,14,0.56,14,1,1,alphabet_reverse,17,2,1.33,2,7,5,7,Z,,,,,generated_alphabet_reverse_018
world_alphabet_reverse_019,alphabet_reverse,medium,5,25,5,0.2,5,1,1,alphabet_reverse,13,4,1.71,0,3,2,8,Z,,,,,generated_alphabet_reverse_019
world_alphabet_reverse_020,alphabet_reverse,hard,5,25,5,0.2,5,1,1,alphabet_reverse,18,2,1.26,0,2,3,10,Z,,,,,generated_alphabet_reverse_020
world_multiples_001,multiples,easy,6,36,13,0.3611,13,2,2,multiple,24,5,1.4,0,5,8,7,,2,,,,generated_multiples_001
world_multiples_002,multiples,easy,6,36,12,0.3333,12,3,3,multiple,21,5,1.59,1,7,4,4,,3,,,,generated_multiples_002
world_multiples_003,multiples,medium,7,49,12,0.2449,12,4,4,multiple,17,6,2.67,1,5,6,9,,4,,,,generated_multiples_003
world_multiples_004,multiples,medium,7,49,15,0.3061,15,5,5,multiple,31,4,1.5,0,7,8,11,,5,,,,generated_multiples_004
world_multiples_005,multiples,hard,7,49,10,0.2041,10,3,3,multiple,15,6,3.0,2,3,5,14,,3,,,,generated_multiples_005
world_multiples_006,multiples,easy,6,36,16,0.4444,16,2,2,multiple,17,5,1.94,2,7,7,6,,2,,,,generated_multiples_006
